data,crc
"{'event_time': '2023-10-17T09:59:23.879Z', 'weight': 0.0}",961294020
"{'event_time': '2023-10-17T09:59:24.887Z', 'weight': 0.0}",2803355869
"{'event_time': '2023-10-17T09:59:25.870Z', 'weight': 0.0}",180732259
"{'event_time': '2023-10-17T09:59:26.878Z', 'weight': 0.0}",1971447259
"{'event_time': '2023-10-17T09:59:27.886Z', 'weight': 0.0}",101738936
"{'event_time': '2023-10-17T09:59:28.869Z', 'weight': 0.0}",712470425
"{'event_time': '2023-10-17T09:59:29.877Z', 'weight': 0.0}",1075751069
"{'event_time': '2023-10-17T09:59:30.887Z', 'weight': 0.0}",644748393
"{'event_time': '2023-10-17T09:59:31.863Z', 'weight': 0.0}",1301133368
"{'event_time': '2023-10-17T09:59:32.874Z', 'weight': 0.0}",338768136
"{'event_time': '2023-10-17T09:59:33.865Z', 'weight': 0.0}",1036476610
"{'event_time': '2023-10-17T09:59:34.875Z', 'weight': 0.0}",773440298
"{'event_time': '2023-10-17T09:59:35.884Z', 'weight': 0.0}",504879495
"{'event_time': '2023-10-17T09:59:36.892Z', 'weight': 0.0}",2420756719
"{'event_time': '2023-10-17T09:59:37.872Z', 'weight': 0.0}",314732892
"{'event_time': '2023-10-17T09:59:38.880Z', 'weight': 0.0}",1827265540
"{'event_time': '2023-10-17T09:59:39.888Z', 'weight': 0.0}",4265290581
"{'event_time': '2023-10-17T09:59:40.865Z', 'weight': 0.0}",2050649736
"{'event_time': '2023-10-17T09:59:41.875Z', 'weight': 0.0}",2217656090
"{'event_time': '2023-10-17T09:59:42.883Z', 'weight': 0.0}",327744789
"{'event_time': '2023-10-17T09:59:43.892Z', 'weight': 0.0}",981380319
"{'event_time': '2023-10-17T09:59:44.868Z', 'weight': 0.0}",1296916260
"{'event_time': '2023-10-17T09:59:45.876Z', 'weight': 0.0}",656709664
"{'event_time': '2023-10-17T09:59:46.885Z', 'weight': 0.0}",2382911381
"{'event_time': '2023-10-17T09:59:47.868Z', 'weight': 0.0}",1000891929
"{'event_time': '2023-10-17T09:59:48.876Z', 'weight': 0.0}",3165818945
"{'event_time': '2023-10-17T09:59:49.885Z', 'weight': 0.0}",4161309725
"{'event_time': '2023-10-17T09:59:50.893Z', 'weight': 0.0}",442265757
"{'event_time': '2023-10-17T09:59:51.869Z', 'weight': 0.0}",2158358812
"{'event_time': '2023-10-17T09:59:52.877Z', 'weight': 0.0}",123397617
"{'event_time': '2023-10-17T09:59:53.885Z', 'weight': 0.0}",2483190261
"{'event_time': '2023-10-17T09:59:54.893Z', 'weight': 0.0}",436261134
"{'event_time': '2023-10-17T09:59:55.870Z', 'weight': 0.0}",1004402196
"{'event_time': '2023-10-17T09:59:56.878Z', 'weight': 0.0}",1150931628
"{'event_time': '2023-10-17T09:59:57.887Z', 'weight': 0.0}",3773488791
"{'event_time': '2023-10-17T09:59:58.869Z', 'weight': 0.0}",460282094
"{'event_time': '2023-10-17T09:59:59.876Z', 'weight': 0.0}",2799968178
"{'event_time': '2023-10-17T10:00:00.884Z', 'weight': 0.0}",2439266121
"{'event_time': '2023-10-17T10:00:01.892Z', 'weight': 0.0}",4071417288
"{'event_time': '2023-10-17T10:00:02.877Z', 'weight': 0.0}",2738559528
"{'event_time': '2023-10-17T10:00:03.885Z', 'weight': 0.0}",811828780
"{'event_time': '2023-10-17T10:00:04.893Z', 'weight': 0.0}",3194040023
"{'event_time': '2023-10-17T10:00:05.872Z', 'weight': 0.0}",3943173948
